HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	NCBI Gene ID	Ensembl gene ID
HGNC:5346	ICAM3	intercellular adhesion molecule 3	Approved		CDW50, ICAM-R, CD50	19p13.2			3385	ENSG00000076662
HGNC:5347	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	Approved	LW	CD242	19p13.2	X93093	NM_001544	3386	ENSG00000105371
HGNC:55990	ICAM4-AS1	ICAM4 antisense RNA 1	Approved		LncRNA-ECM, ICR, AC011511.5	19p13.2			123706506	ENSG00000267607
HGNC:5348	ICAM5	intercellular adhesion molecule 5	Approved	TLCN	TLN	19p13.2	U72671	NM_003259	7087	ENSG00000105376
HGNC:5349	ICCA	symbol withdrawn, see [HGNC:30500](/data/gene-symbol-report/#!/hgnc_id/HGNC:30500)	Symbol Withdrawn		FICCA	16p12-q12				
HGNC:29154	ICE1	interactor of little elongation complex ELL subunit 1	Approved	KIAA0947		5p15.32		NM_015325.1	23379	ENSG00000164151
HGNC:58997	ICE1-DT	ICE1 divergent transcript	Approved			5p15.32			101929200	ENSG00000286753
HGNC:29885	ICE2	interactor of little elongation complex ELL subunit 2	Approved	NARG2	FLJ11896, BRCC1	15q22.2	BC013684	NM_024611	79664	ENSG00000128915
HGNC:48856	ICE2P1	interactor of little elongation complex ELL subunit 2 pseudogene 1	Approved	NARG2P1		4q35.2			644491	ENSG00000248880
HGNC:48857	ICE2P2	interactor of little elongation complex ELL subunit 2 pseudogene 2	Approved	NARG2P2		3p11.1			728432	ENSG00000242705
HGNC:5350	ICMT	isoprenylcysteine carboxyl methyltransferase	Approved		PCCMT, HSTE14, PPMT	1p36.31	AF064084	NM_012405	23463	ENSG00000116237
HGNC:28620	ICMT-DT	ICMT divergent transcript	Approved	C1orf211, NCRNA00337, LINC00337	MGC40168	1p36.31	BC030279		148645	ENSG00000225077
HGNC:5351	ICOS	inducible T cell costimulator	Approved		AILIM, CD278	2q33.2	AB023135	NM_012092	29851	ENSG00000163600
HGNC:17087	ICOSLG	inducible T cell costimulator ligand	Approved	ICOSL	KIAA0653, GL50, B7-H2, B7RP-1, B7H2, B7RP1, ICOS-L, CD275, B7h	21q22.3	AB014553	NM_015259	23308	ENSG00000160223
HGNC:5352	ICR1	ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma	Entry Withdrawn			reserved				
HGNC:5353	ICR2B	symbol withdrawn, see [HGNC:14637](/data/gene-symbol-report/#!/hgnc_id/HGNC:14637)	Symbol Withdrawn			2q33-q35				
HGNC:5354	ICR3	ichthyosis congenita III, vulgaris-like recessive ichthyosis	Entry Withdrawn			reserved				
HGNC:5355	ICR4	ichthyosis congenita IV, ichthyosis-prematurity syndrome	Entry Withdrawn			reserved				
HGNC:5356	ICR5	ichthyosis congenita V, Sjogren-Larsson-like	Entry Withdrawn			reserved				
HGNC:5357	ICS1	immotile cilia syndrome 1	Entry Withdrawn			6p21.3				
HGNC:5360	ID1	inhibitor of DNA binding 1	Approved		dJ857M17.1.2, bHLHb24	20q11.21		NM_002165	3397	ENSG00000125968
HGNC:5361	ID2	inhibitor of DNA binding 2	Approved		GIG8, bHLHb26	2p25.1		NM_002166	3398	ENSG00000115738
HGNC:51103	ID2-AS1	ID2 antisense RNA 1	Approved			2p25.1		NR_110153	100506299	ENSG00000235092
HGNC:30656	ID2B	inhibitor of DNA binding 2B (pseudogene)	Approved			3p14.2	M96843		84099	ENSG00000237456
HGNC:5362	ID3	inhibitor of DNA binding 3	Approved		HEIR-1, bHLHb25	1p36.12	X69111	NM_002167	3399	ENSG00000117318
HGNC:5363	ID4	inhibitor of DNA binding 4	Approved		bHLHb27	6p22.3	U16153	NM_001546	3400	ENSG00000172201
HGNC:5373	IDDM2	symbol withdrawn, see [HGNC:6081](/data/gene-symbol-report/#!/hgnc_id/HGNC:6081)	Symbol Withdrawn	IDDM1		11p15.5				
HGNC:5374	IDDM3	insulin dependent diabetes mellitus 3	Entry Withdrawn			15q26				
HGNC:5375	IDDM4	insulin dependent diabetes mellitus 4	Entry Withdrawn			11q13				
HGNC:5376	IDDM5	symbol withdrawn, see [HGNC:21181](/data/gene-symbol-report/#!/hgnc_id/HGNC:21181)	Symbol Withdrawn			6q25				
HGNC:5377	IDDM6	insulin dependent diabetes mellitus 6	Entry Withdrawn			18q21				
HGNC:5378	IDDM7	insulin dependent diabetes mellitus 7	Entry Withdrawn			2q31				
HGNC:5379	IDDM8	insulin dependent diabetes mellitus 8	Entry Withdrawn			6q27				
HGNC:5380	IDDM9	insulin dependent diabetes mellitus 9	Entry Withdrawn			3q22.3-q25.1				
HGNC:5364	IDDM10	symbol withdrawn, see [HGNC:6008](/data/gene-symbol-report/#!/hgnc_id/HGNC:6008)	Symbol Withdrawn			10p11-q11				
HGNC:5365	IDDM11	insulin dependent diabetes mellitus 11	Entry Withdrawn			14q24.3-q31				
HGNC:5366	IDDM12	symbol withdrawn, see [HGNC:2505](/data/gene-symbol-report/#!/hgnc_id/HGNC:2505)	Symbol Withdrawn			2q33				
HGNC:5367	IDDM13	insulin dependent diabetes mellitus 13	Entry Withdrawn			2q34				
HGNC:5368	IDDM14	insulin dependent diabetes mellitus 14	Entry Withdrawn			2q34-q35				
HGNC:5369	IDDM15	insulin dependent diabetes mellitus 15	Entry Withdrawn			6q21				
HGNC:5370	IDDM16	insulin dependent diabetes mellitus 16	Entry Withdrawn			14q32.32-q32.33				
HGNC:5371	IDDM17	insulin dependent diabetes mellitus 17	Entry Withdrawn			10q25				
HGNC:5372	IDDM18	insulin dependent diabetes mellitus 18	Entry Withdrawn			5q33-q35				
HGNC:5381	IDE	insulin degrading enzyme	Approved			10q23.33	M21188	NM_004969	3416	ENSG00000119912
HGNC:5382	IDH1	isocitrate dehydrogenase (NADP(+)) 1	Approved			2q34		NM_005896	3417	ENSG00000138413
HGNC:40292	IDH1-AS1	IDH1 antisense RNA 1	Approved		IADMP	2q34	AI492612, BE465811		100507475	ENSG00000231908
HGNC:56900	IDH1P1	IDH1 pseudogene 1	Approved			6p24.3		NG_005686	644051	ENSG00000234115
HGNC:5383	IDH2	isocitrate dehydrogenase (NADP(+)) 2	Approved		IDH-2	15q26.1			3418	ENSG00000182054
HGNC:53154	IDH2-DT	IDH2 divergent transcript	Approved			15q26.1			105370966	ENSG00000259685
HGNC:5384	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	Approved			15q25.1		NM_005530	3419	ENSG00000166411
HGNC:5385	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta	Approved		RP46	20p13			3420	ENSG00000101365
HGNC:55798	IDH3B-DT	IDH3B divergent transcript	Approved			20p13				ENSG00000228293
HGNC:5386	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	Approved			Xq28			3421	ENSG00000067829
HGNC:5387	IDI1	isopentenyl-diphosphate delta isomerase 1	Approved			10p15.3	BC006999	NM_004508	3422	ENSG00000067064
HGNC:54666	IDI1P1	IDI1 pseudogene 1	Approved			2q22.1		NG_021587	647002	ENSG00000237939
HGNC:54667	IDI1P2	IDI1 pseudogene 2	Approved			8q11.21		NG_022389	100130299	ENSG00000253654
HGNC:54668	IDI1P3	IDI1 pseudogene 3	Approved			20p13		NG_024955	100421361	ENSG00000231071
HGNC:23487	IDI2	isopentenyl-diphosphate delta isomerase 2	Approved		IPPI2	10p15.3	AF271725	NM_033261	91734	ENSG00000148377
HGNC:30885	IDI2-AS1	IDI2 antisense RNA 1	Approved	C10orf110, IDI2-AS	HT009, Em:AC022536.4	10p15.3	AF220183	NR_024628	55853	ENSG00000232656
HGNC:31367	IDNK	IDNK gluconokinase	Approved	C9orf103	bA522I20.2, hGntK	9q21.32	BC036421	NM_001001551	414328	ENSG00000148057
HGNC:5388	IDO	symbol withdrawn, see [HGNC:6059](/data/gene-symbol-report/#!/hgnc_id/HGNC:6059)	Symbol Withdrawn							
HGNC:6059	IDO1	indoleamine 2,3-dioxygenase 1	Approved	IDO, INDO		8p11.21	M34455	NM_002164	3620	ENSG00000131203
HGNC:27269	IDO2	indoleamine 2,3-dioxygenase 2	Approved	INDOL1		8p11.21	AK128691	NM_194294	169355	ENSG00000188676
HGNC:5389	IDS	iduronate 2-sulfatase	Approved	SIDS	ID2S	Xq28	M58342		3423	ENSG00000010404
HGNC:5390	IDSP1	iduronate 2-sulfatase pseudogene 1	Approved		IDS2	Xq28	L36846	NG_001149	3424	ENSG00000176289
HGNC:5391	IDUA	alpha-L-iduronidase	Approved		MPS1, MPSI	4p16.3	M74715	NM_000203	3425	ENSG00000127415
HGNC:28871	IER2	immediate early response 2	Approved		ETR101	19p13.13	M62831	NM_004907	9592	ENSG00000160888
HGNC:58207	IER2-AS1	IER2 antisense RNA 1	Approved			19p13.13				ENSG00000267598
HGNC:5392	IER3	immediate early response 3	Approved		IEX-1, DIF-2, PRG1, IEX-1L	6p21.33	AF083421		8870	ENSG00000137331
HGNC:53629	IER3-AS1	IER3 antisense RNA 1	Approved			6p21.33			105379695	ENSG00000272273
HGNC:18550	IER3IP1	immediate early response 3 interacting protein 1	Approved			18q21.1	AF371963	NM_016097	51124	ENSG00000134049
HGNC:5393	IER5	immediate early response 5	Approved			1q25.3	BC000128	NM_016545	51278	ENSG00000162783
HGNC:23679	IER5L	immediate early response 5 like	Approved		bA247A12.2	9q34.11	BC013070		389792	ENSG00000188483
HGNC:55825	IER5L-AS1	IER5L antisense RNA 1	Approved			9q34.11			105376290	ENSG00000204055
HGNC:24970	IFFO1	intermediate filament family orphan 1	Approved	IFFO	HOM-TES-103	12p13.31	AF124432	NM_080730	25900	ENSG00000010295
HGNC:27006	IFFO2	intermediate filament family orphan 2	Approved			1p36.13	AK024480, AL080251	NM_001136265	126917	ENSG00000169991
HGNC:5400	IFI4	symbol withdrawn, see [HGNC:225](/data/gene-symbol-report/#!/hgnc_id/HGNC:225)	Symbol Withdrawn	G1P1		1				
HGNC:4054	IFI6	interferon alpha inducible protein 6	Approved	G1P3	IFI616, FAM14C, 6-16, IFI-6-16	1p35.3	BC015603	NM_022873	2537	ENSG00000126709
HGNC:5395	IFI16	interferon gamma inducible protein 16	Approved		IFNGIP1, PYHIN2	1q23.1	M63838	NM_005531	3428	ENSG00000163565
HGNC:5396	IFI17	symbol withdrawn, see [HGNC:5412](/data/gene-symbol-report/#!/hgnc_id/HGNC:5412)	Symbol Withdrawn							
HGNC:5397	IFI27	interferon alpha inducible protein 27	Approved		P27, FAM14D, ISG12	14q32.12	X67325	NM_005532	3429	ENSG00000165949
HGNC:19754	IFI27L1	interferon alpha inducible protein 27 like 1	Approved	FAM14B		14q32.12	BC015423	NM_206949	122509	ENSG00000165948
HGNC:19753	IFI27L2	interferon alpha inducible protein 27 like 2	Approved	FAM14A	TLH29	14q32.12	AF208232	NM_032036	83982	ENSG00000119632
HGNC:5398	IFI30	IFI30 lysosomal thiol reductase	Approved		IFI-30, GILT, IP30, MGC32056, IP-30	19p13.11	J03909	NM_006332	10437	ENSG00000216490
HGNC:5399	IFI35	interferon induced protein 35	Approved		IFP35	17q21.31	BC001356	NM_005533	3430	ENSG00000068079
HGNC:16938	IFI44	interferon induced protein 44	Approved		MTAP44, p44, TLDC5	1p31.1	D28915	NM_006417	10561	ENSG00000137965
HGNC:17817	IFI44L	interferon induced protein 44 like	Approved	C1orf29	GS3686, TLDC5B	1p31.1	AB000115	NM_006820	10964	ENSG00000137959
HGNC:5402	IFI53	symbol withdrawn, see [HGNC:12729](/data/gene-symbol-report/#!/hgnc_id/HGNC:12729)	Symbol Withdrawn							
HGNC:5403	IFI54	symbol withdrawn, see [HGNC:5409](/data/gene-symbol-report/#!/hgnc_id/HGNC:5409)	Symbol Withdrawn							
HGNC:5404	IFI56	symbol withdrawn, see [HGNC:5407](/data/gene-symbol-report/#!/hgnc_id/HGNC:5407)	Symbol Withdrawn							
HGNC:5405	IFI56P	symbol withdrawn, see [HGNC:5408](/data/gene-symbol-report/#!/hgnc_id/HGNC:5408)	Symbol Withdrawn							
HGNC:5406	IFI75	symbol withdrawn, see [HGNC:5401](/data/gene-symbol-report/#!/hgnc_id/HGNC:5401)	Symbol Withdrawn			reserved				
HGNC:18873	IFIH1	interferon induced with helicase C domain 1	Approved		MDA-5, Hlcd, MDA5, IDDM19	2q24.2	AF095844	NM_022168	64135	ENSG00000115267
HGNC:5407	IFIT1	interferon induced protein with tetratricopeptide repeats 1	Approved	G10P1, IFI56, IFNAI1	GARG-16, ISG56	10q23.31	M24594	NM_001548	3434	ENSG00000185745
HGNC:23442	IFIT1B	interferon induced protein with tetratricopeptide repeats 1B	Approved	IFIT1L	bA149I23.6	10q23.31		NM_001010987	439996	ENSG00000204010
HGNC:5408	IFIT1P1	interferon induced protein with tetratricopeptide repeats 1 pseudogene 1	Approved	G13P1, IFI56P, IFIT1P	II56P	13q13.1	AF196987	NG_001215	8373	ENSG00000215515
HGNC:5409	IFIT2	interferon induced protein with tetratricopeptide repeats 2	Approved	IFI54, G10P2	IFI-54, ISG-54K, ISG-54, cig42, GARG-39	10q23.31	M14660	NM_001547	3433	ENSG00000119922
HGNC:5411	IFIT3	interferon induced protein with tetratricopeptide repeats 3	Approved	IFIT4	ISG60, RIG-G, CIG-49, IFI60, GARG-49, IRG2	10q23.31	U52513	NM_001549	3437	ENSG00000119917
HGNC:13328	IFIT5	interferon induced protein with tetratricopeptide repeats 5	Approved		RI58	10q23.31	U34605	NM_012420	24138	ENSG00000152778
HGNC:38020	IFIT6P	interferon induced protein with tetratricopeptide repeats 6, pseudogene	Approved			10q23.31		NG_022187	100128465	ENSG00000224289
HGNC:5412	IFITM1	interferon induced transmembrane protein 1	Approved	IFI17	9-27, CD225, DSPA2a	11p15.5	J04164	NM_003641	8519	ENSG00000185885
HGNC:5413	IFITM2	interferon induced transmembrane protein 2	Approved		1-8D, DSPA2c	11p15.5	X57351	NM_006435	10581	ENSG00000185201
HGNC:5414	IFITM3	interferon induced transmembrane protein 3	Approved		1-8U, DSPA2b	11p15.5	X57352	NM_021034	10410	ENSG00000142089
HGNC:58185	IFITM3-AS1	IFITM3 antisense RNA 1	Approved			11p15.5			105376505	ENSG00000251661
HGNC:54538	IFITM3P1	IFITM3 pseudogene 1	Approved			4q13.2		NG_006204	728048	ENSG00000236562
HGNC:54539	IFITM3P2	IFITM3 pseudogene 2	Approved		DSPA2D	12p11.21		NG_006205	144383	ENSG00000223722
HGNC:54541	IFITM3P3	IFITM3 pseudogene 3	Approved			6p21.31		NG_006229	100101247	ENSG00000196114
HGNC:54542	IFITM3P4	IFITM3 pseudogene 4	Approved			7p11.2		NG_006223	442309	ENSG00000230191
HGNC:54543	IFITM3P5	IFITM3 pseudogene 5	Approved			12q24.12		NG_006225	100101246	ENSG00000238168
HGNC:54545	IFITM3P6	IFITM3P pseudogene 6	Approved			12q13.11		NG_006230	643058	ENSG00000258352
HGNC:54546	IFITM3P7	IFITM3 pseudogene 7	Approved			1p36.11		NG_006227	391020	ENSG00000233419
HGNC:54547	IFITM3P8	IFITM3 pseudogene 8	Approved			8q12.2		NG_006224	442389	ENSG00000271377
HGNC:54548	IFITM3P9	IFITM3 pseudogene 9	Approved			2p16.1		NG_006228	442017	ENSG00000271134
HGNC:21669	IFITM4P	interferon induced transmembrane protein 4 pseudogene	Approved		dJ377H14.5	6p22.1		NR_001590	340198	ENSG00000235821
HGNC:16644	IFITM5	interferon induced transmembrane protein 5	Approved		fragilis4, Hrmp1, BRIL, DSPA1	11p15.5	AA463818, CR747200, DY654432	NM_001025295	387733	ENSG00000206013
HGNC:32202	IFITM8P	interferon induced transmembrane protein 8 pseudogene	Approved			8q12.3	DQ031534		613204	ENSG00000215096
HGNC:33972	IFITM9P	interferon induced transmembrane protein 9 pseudogene	Approved		lnc-MRGPRF-6	11q13.3		NG_006210	390218	ENSG00000213275
HGNC:40022	IFITM10	interferon induced transmembrane protein 10	Approved		DSPA3	11p15.5		NM_001170820	402778	ENSG00000244242
HGNC:5415	IFN1@	interferon, type 1, cluster	Entry Withdrawn	IFNA		9p22				
HGNC:5416	IFNA	symbol withdrawn, see [HGNC:5415](/data/gene-symbol-report/#!/hgnc_id/HGNC:5415)	Symbol Withdrawn							
HGNC:5417	IFNA1	interferon alpha 1	Approved		IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD	9p21.3		NM_024013	3439	ENSG00000197919
HGNC:5423	IFNA2	interferon alpha 2	Approved		IFNA, IFN-alphaA	9p21.3		NM_000605	3440	ENSG00000188379
HGNC:5425	IFNA4	interferon alpha 4	Approved		MGC142200, IFN-alpha4a	9p21.3		NM_021068	3441	ENSG00000236637
HGNC:5426	IFNA5	interferon alpha 5	Approved		IFN-alphaG	9p21.3		NM_002169	3442	ENSG00000147873
HGNC:5427	IFNA6	interferon alpha 6	Approved		IFN-alphaK	9p21.3		NM_021002	3443	ENSG00000120235
HGNC:5428	IFNA7	interferon alpha 7	Approved		IFNA-J, IFN-alphaJ	9p21.3		NM_021057	3444	ENSG00000214042
HGNC:5429	IFNA8	interferon alpha 8	Approved		IFN-alphaB	9p21.3		NM_002170	3445	ENSG00000120242
HGNC:5418	IFNA10	interferon alpha 10	Approved		IFN-alphaC	9p21.3		NM_002171	3446	ENSG00000186803
HGNC:5442	IFNA11P	interferon alpha 11, pseudogene	Approved	IFNP11		9p21.3		NG_027866	3461	ENSG00000231195
HGNC:5443	IFNA12P	interferon alpha 12, pseudogene	Approved	IFNP12		9p21.3		NG_004681	158011	ENSG00000235108
HGNC:5419	IFNA13	interferon alpha 13	Approved			9p21.3		NM_006900	3447	ENSG00000233816
HGNC:5420	IFNA14	interferon alpha 14	Approved		LEIF2H, IFN-alphaH	9p21.3		NM_002172	3448	ENSG00000228083
HGNC:5421	IFNA16	interferon alpha 16	Approved		IFN-alphaO	9p21.3		NM_002173	3449	ENSG00000147885
HGNC:5422	IFNA17	interferon alpha 17	Approved		LEIF2C1, IFN-alphaI	9p21.3		NM_021268	3451	ENSG00000234829
HGNC:5444	IFNA20P	interferon alpha 20, pseudogene	Approved	IFNP20		9p21.3			3463	ENSG00000226393
HGNC:5424	IFNA21	interferon alpha 21	Approved		IFN-alphaI	9p21.3		NM_002175	3452	ENSG00000137080
HGNC:5431	IFNA22P	interferon alpha 22, pseudogene	Approved	IFNAP22		9p21.3	V00539	NG_005640	3453	ENSG00000224416
HGNC:5430	IFNAI1	symbol withdrawn, see [HGNC:5407](/data/gene-symbol-report/#!/hgnc_id/HGNC:5407)	Symbol Withdrawn							
HGNC:5432	IFNAR1	interferon alpha and beta receptor subunit 1	Approved	IFNAR	IFRC	21q22.11			3454	ENSG00000142166
HGNC:5433	IFNAR2	interferon alpha and beta receptor subunit 2	Approved	IFNABR		21q22.11			3455	ENSG00000159110
HGNC:5434	IFNB1	interferon beta 1	Approved	IFNB	IFB, IFF	9p21.3		NM_002176	3456	ENSG00000171855
HGNC:5435	IFNB2	symbol withdrawn, see [HGNC:6018](/data/gene-symbol-report/#!/hgnc_id/HGNC:6018)	Symbol Withdrawn							
HGNC:5436	IFNB3	interferon, beta 3, fibroblast	Entry Withdrawn			8q24.13				
HGNC:5437	IFNBR	interferon beta receptor	Entry Withdrawn							
HGNC:18163	IFNE	interferon epsilon	Approved		IFNE1	9p21.3	AY190045	NM_176891	338376	ENSG00000184995
HGNC:5438	IFNG	interferon gamma	Approved			12q15			3458	ENSG00000111537
HGNC:43910	IFNG-AS1	IFNG regulatory antisense RNA 1	Approved		Tmevpg1, LincR-Ifng-3'AS, NEST	12q15	AK124066, BF510189	NR_104124	100885789	ENSG00000255733
HGNC:5439	IFNGR1	interferon gamma receptor 1	Approved	IFNGR	CD119	6q23.3			3459	ENSG00000027697
HGNC:5440	IFNGR2	interferon gamma receptor 2	Approved	IFNGT1	AF-1	21q22.11			3460	ENSG00000159128
HGNC:5441	IFNGT1	symbol withdrawn, see [HGNC:5440](/data/gene-symbol-report/#!/hgnc_id/HGNC:5440)	Symbol Withdrawn							
HGNC:21714	IFNK	interferon kappa	Approved			9p21.2	AF384048	NM_020124	56832	ENSG00000147896
HGNC:18363	IFNL1	interferon lambda 1	Approved	IL29	IL-29	19q13.2	AY129150	NM_172140	282618	ENSG00000182393
HGNC:18364	IFNL2	interferon lambda 2	Approved	IL28A	IL-28A	19q13.2	AY129148	NM_172138	282616	ENSG00000183709
HGNC:18365	IFNL3	interferon lambda 3	Approved	IL28B	IL-28B, IL28C	19q13.2	AY129149	NM_172139	282617	ENSG00000197110
HGNC:44483	IFNL3P1	interferon lambda 3 pseudogene 1	Approved	IL28BP1		19q13.2		NG_024181	100421129	ENSG00000268510
HGNC:44480	IFNL4	interferon lambda 4 (gene/pseudogene)	Approved		IFNAN	19q13.2	JN806234	NM_001276254	101180976	ENSG00000272395
HGNC:45090	IFNL4P1	interferon lambda 4 pseudogene 1	Approved			19q13.2			101927833	ENSG00000272311
HGNC:18584	IFNLR1	interferon lambda receptor 1	Approved	IL28RA	CRF2/12, IFNLR, IL-28R1	1p36.11	AY129153	NM_170743	163702	ENSG00000185436
HGNC:32009	IFNNP	interferon nu, pseudogene	Approved	IFNNP1		9p21.3	AL390882	NG_009495	654783	ENSG00000230208
HGNC:5445	IFNP23	interferon pseudogene 23	Entry Withdrawn			reserved				
HGNC:5446	IFNP24	interferon pseudogene 24	Entry Withdrawn			9p22				
HGNC:5447	IFNR	interferon production regulator	Approved			16			3466	
HGNC:5448	IFNW1	interferon omega 1	Approved			9p21.3		NM_002177	3467	ENSG00000177047
HGNC:5452	IFNWP2	interferon omega 1 pseudogene 2	Approved			9p21.3		NG_011585	646581	ENSG00000237691
HGNC:5453	IFNWP4	interferon omega 1 pseudogene 4	Approved			9p21.3				ENSG00000225027
HGNC:5454	IFNWP5	interferon omega 1 pseudogene 5	Approved			9p21.3			392292	ENSG00000232138
HGNC:5455	IFNWP9	interferon omega 1 pseudogene 9	Approved			9p21.3			100130671	ENSG00000226597
HGNC:5449	IFNWP15	interferon omega 1 pseudogene 15	Approved			9p21.3		NG_001150	100130866	ENSG00000232281
HGNC:5450	IFNWP18	interferon omega 1 pseudogene 18	Approved		pseudo-IFN-alpha-m	9p21.3	V00531	NG_002922	360001	ENSG00000223684
HGNC:5451	IFNWP19	interferon omega 1 pseudogene 19	Approved			9p21.3		NG_005641	3474	ENSG00000238271
HGNC:5456	IFRD1	interferon related developmental regulator 1	Approved		PC4, TIS7	7q31.1	Y10313	NM_001550	3475	ENSG00000006652
HGNC:5457	IFRD2	interferon related developmental regulator 2	Approved		SKMc15, SM15, IFNRP	3p21.31	U09585	NM_006764	7866	ENSG00000214706
HGNC:30989	IFT20	intraflagellar transport 20	Approved			17q11.2	AF070643	NM_174887	90410	ENSG00000109083
HGNC:21895	IFT22	intraflagellar transport 22	Approved	RABL5	FLJ14117, FLJ13225, DKFZp761N0823, FAP9, CFAP9	7q22.1	AK024179	NM_022777	64792	ENSG00000128581
HGNC:25019	IFT25	intraflagellar transport 25	Approved	C1orf41, HSPB11	HSPCO34, PP25, FAP232, CFAP232	1p32.3	AF100747	NM_016126	51668	ENSG00000081870
HGNC:18626	IFT27	intraflagellar transport 27	Approved	RABL4	RAYL, BBS19, FAP156, CFAP156	22q12.3	Z80897	NM_006860	11020	ENSG00000100360
HGNC:19009	IFT38	intraflagellar transport 38	Approved	CLUAP1	FLJ13297, KIAA0643, FAP22, CFAP22	16p13.3	BC017070	NM_024793	23059	ENSG00000103351
HGNC:29669	IFT43	intraflagellar transport 43	Approved	C14orf179	FLJ32173, MGC16028	14q24.3	BC010436	NM_052873	112752	ENSG00000119650
HGNC:26146	IFT46	intraflagellar transport 46	Approved	C11orf60	C11orf2, FLJ21827, FAP32, CFAP32	11q23.3	AL136934	NM_020153	56912	ENSG00000118096
HGNC:15901	IFT52	intraflagellar transport 52	Approved	C20orf9	CGI-53, NGD5, dJ1028D15.1, NGD2	20q13.12	AF151811	NM_016004	51098	ENSG00000101052
HGNC:17861	IFT54	intraflagellar transport 54	Approved	TRAF3IP1	MIP-T3, DKFZP434F124, MIPT3, FAP116, CFAP116	2q37.3	AF230877	NM_015650	26146	ENSG00000204104
HGNC:21882	IFT56	intraflagellar transport 56	Approved	TTC26	FLJ12571, dyf-13, DYF13	7q34	AK022633	NM_024926	79989	ENSG00000105948
HGNC:17367	IFT57	intraflagellar transport 57	Approved	ESRRBL1	FLJ10147, HIPPI, MHS4R2	3q13.12-q13.13	AK001009	NM_018010	55081	ENSG00000114446
HGNC:56830	IFT57P1	IFT57 pseudogene 1	Approved			12p11.22			100129646	ENSG00000255951
HGNC:25853	IFT70A	intraflagellar transport 70A	Approved	TTC30A	FLJ13946, FAP259, CFAP259	2q31.2	AK024008	NM_152275	92104	ENSG00000197557
HGNC:58181	IFT70A-AS1	IFT70A antisense RNA 1	Approved			2q31.2				ENSG00000237655
HGNC:26425	IFT70B	intraflagellar transport 70B	Approved	TTC30B	FLJ30990, fleer	2q31.2	AK055552	NM_152517	150737	ENSG00000196659
HGNC:21424	IFT74	intraflagellar transport 74	Approved	CCDC2	CMG1, CMG-1, FLJ22621	9p21.2	AK023707	NM_025103	80173	ENSG00000096872
HGNC:49806	IFT74-AS1	IFT74 antisense RNA 1	Approved			9p21.2	AA960898, AI214381		101929602	ENSG00000234676
HGNC:29262	IFT80	intraflagellar transport 80	Approved	WDR56	KIAA1374, FAP167, CFAP167	3q25.33	AB037795	NM_020800	57560	ENSG00000068885
HGNC:14313	IFT81	intraflagellar transport 81	Approved	CDV1	CDV-1R, MGC4027	12q24.11	AF139540	NM_014055	28981	ENSG00000122970
HGNC:20606	IFT88	intraflagellar transport 88	Approved	TTC10	hTg737, Tg737, D13S1056E, MGC26259	13q12.11	AK058172	NM_006531	8100	ENSG00000032742
HGNC:13556	IFT122	intraflagellar transport 122	Approved	WDR10	WDR140, WDR10p, SPG, FAP80, CFAP80	3q21.3-q22.1	AF244930	NM_018262	55764	ENSG00000163913
HGNC:56385	IFT122P1	IFT122 pseudogene 1	Approved			3p25.2				ENSG00000250939
HGNC:56388	IFT122P2	IFT122 pseudogene 2	Approved			3q21.3				ENSG00000244932
HGNC:56389	IFT122P3	IFT122 pseudogene 3	Approved			3q21.3		NR_034179	653712	
HGNC:29077	IFT140	intraflagellar transport 140	Approved	WDTC2	gs114, KIAA0590	16p13.3	AB011162	NM_014714	9742	ENSG00000187535
HGNC:30391	IFT172	intraflagellar transport 172	Approved		SLB, wim, osm-1, NPHP17, BBS20	2p23.3	AB033005	NM_015662	26160	ENSG00000138002
HGNC:25142	IFTAP	intraflagellar transport associated protein	Approved	C11orf74	FLJ38678, HEPIS, NWC	11p12	AK095997, BC009561	NM_138787	119710	ENSG00000166352
HGNC:59190	IFTAPP1	IFTAP pseudogene 1	Approved			1p22.2			729930	ENSG00000238081
HGNC:5458	IGA	symbol withdrawn, see [HGNC:1698](/data/gene-symbol-report/#!/hgnc_id/HGNC:1698)	Symbol Withdrawn							
HGNC:5459	IGAD1	immunoglobulin A (IgA) deficiency susceptibility 1	Entry Withdrawn			6p21.3				
HGNC:5460	IGB	symbol withdrawn, see [HGNC:1699](/data/gene-symbol-report/#!/hgnc_id/HGNC:1699)	Symbol Withdrawn							
HGNC:5461	IGBP1	immunoglobulin binding protein 1	Approved	IBP1	α4	Xq13.1	Y08915		3476	ENSG00000089289
HGNC:40295	IGBP1-AS1	IGBP1 antisense RNA 1	Approved			Xq13.1				ENSG00000203588
HGNC:40294	IGBP1-AS2	IGBP1 antisense RNA 2	Approved			Xq13.1				ENSG00000220925
HGNC:43611	IGBP1C	IGBP1 family member C	Approved	IGBP1P2		17q22		NM_001395966	645545	ENSG00000266826
